광역시도,기준년월,카드이용금액계,카드이용건수계
전남,201808,203687541358.1,6906954.7
전남,201703,149640157708.8,4930368.0
전남,201712,174969609157.44,5451255.99
전남,201807,193707095003.28,6528449.04
전북,201711,172195240423.76,6660534.32
전북,201801,166690212637.8,6366279.99
전북,201708,191578950886.56,7632053.43
전북,201702,148753022324.34,5544564.62
제주,201708,167917609845.36,5356752.21
제주,201701,118051284072.7,3546452.8
제주,201803,136917145058.76,4302726.62
제주,201805,155687925800.7,4797903.15
제주,201712,140353820203.86,4174015.77
제주,201707,155822224141.5,4951122.75
충남,201702,193355706120.64,7292796.0
충남,201709,255279463720.74,11012324.76
충남,201801,235756925467.89,9169774.41
충남,201805,280724994672.71,11881926.0
충남,201710,255869528599.14,11080587.72
충북,201708,203355505292.8,8539276.4
충북,201706,215274001242.56,9342053.76
충북,201803,230806631836.25,9598425.25
충북,201806,240494039965.5,10257164.76
충북,201805,271692390453.12,11362731.12
충북,201802,189126736281.44,7421296.22
충북,201707,223391510364.82,9169880.51
충북,201702,188732796252.84,7301179.06
강원,201808,312501836126.42,11378483.3
강원,201802,214359783034.65,7807472.42
강원,201712,258958428287.79,9135891.54
경기,201703,1818905931445.8,82935317.76
경기,201801,1809498957566.3,79915592.9
경기,201804,1966109919439.56,90591524.46
경남,201701,293649386825.8,10016310.62
경남,201801,317843887289.45,11230743.43
경남,201707,350199050705.45,12588994.05
경남,201712,356437280264.85,11745408.99
경남,201806,334053276149.37,12454557.51
경남,201804,336560839235.5,12282330.5
경북,201808,271868834357.26,10735498.2
경북,201712,256267551380.4,9122425.2
경북,201703,221056599013.56,8422875.72
경북,201711,233280463506.87,9044520.03
경북,201704,230126471757.84,9008094.9
광주,201704,156165740875.76,6284201.0
광주,201808,177840588235.87,7262377.57
광주,201706,160006011814.69,6485789.32
광주,201801,166192162376.24,6489860.52
광주,201709,170391377287.56,6956990.04
광주,201807,176115105730.2,7173691.98
광주,201710,167884333740.18,6784835.66
대구,201807,249564192654.45,10740720.75
대구,201710,242223041304.36,10248460.92
대구,201706,228782132073.77,9788756.62
대구,201801,234229520904.72,9546483.96
대구,201711,236584497225.56,9895207.31
대전,201703,215443336404.57,9823122.36
대전,201702,185700110444.41,7843286.64
대전,201807,220986590621.4,10021386.6
대전,201710,214506394800.31,10095648.28
대전,201803,225206302276.68,10265180.35
대전,201801,228168853696.0,9973900.8
부산,201802,356009315354.88,13650122.97
부산,201702,353725852276.14,12878431.46
부산,201712,471811794355.58,16676186.66
부산,201708,457278212331.99,18182833.83
서울,201705,1959298692288.36,102601732.44
서울,201702,1795656308172.48,84801362.88
서울,201801,1969390793926.08,94548716.64
울산,201703,136779155479.85,4835642.31
울산,201701,133245627932.99,4536423.55
울산,201804,145338925537.98,5286053.98
울산,201705,146733085268.5,5323865.25
울산,201807,150441992564.85,5553335.55
울산,201706,139947676449.25,5084716.26
울산,201707,151342404733.8,5530512.6
인천,201705,406735787264.12,18562434.3
전남,201701,137538551652.39,4433744.37
전남,201803,170298940915.56,5713510.03
전남,201802,142160529746.36,4717477.68
전남,201705,179061216377.44,5985807.36
전북,201704,169272604366.18,6761915.02
제주,201711,132007503460.8,3961409.76
제주,201807,154151679936.65,4988623.55
제주,201801,128471319119.52,4017291.12
충남,201706,249659166274.38,10562973.45
충남,201701,204282130368.36,7921836.12
충남,201704,241454825501.4,10214881.84
충남,201707,266081711412.16,10605568.96
충북,201804,234321245420.41,10030111.4
충북,201701,198908539991.96,7797975.25
충북,201704,228499981120.4,9858534.4
충북,201807,244616378456.16,10000823.34
강원,201801,237106937029.59,8661482.31
강원,201703,213974538584.76,8265660.96
강원,201803,238872254924.8,9094010.24
강원,201705,255987300570.12,9788943.15
강원,201805,276704438903.79,10407383.45
경기,201711,1827894082020.93,83847519.14
경기,201710,1841083332969.72,85687526.96
경기,201707,1962011224482.75,88779589.5
경남,201802,287184501821.8,10101313.4
경남,201704,322082169308.34,11437434.82
경남,201706,321488243354.3,11621970.02
경남,201808,363315347010.54,13602774.12
경북,201801,226724559666.3,8336592.6
경북,201706,230843008970.04,9099074.52
경북,201709,239799757686.6,9665316.2
광주,201802,147429473329.83,5585410.4
광주,201804,164578838174.28,6739220.4
광주,201803,170097397226.4,6789753.6
광주,201705,169750199432.2,6765920.36
광주,201806,165740170792.35,6822069.1
광주,201805,175757260056.3,7107419.88
대구,201702,200021963327.13,7756460.19
대구,201802,207258945049.75,8257123.63
대구,201703,221548526121.12,9144236.64
대구,201804,235316006258.16,10157872.54
대구,201705,244258324807.05,10220265.1
대구,201707,245652767934.8,10357405.97
대구,201806,239759961143.96,10384523.28
대전,201701,190686126369.24,8170613.6
대전,201706,219052962628.4,10351918.04
대전,201708,236797802300.0,10995131.25
대전,201806,224941266995.69,10523289.05
대전,201705,227331152195.16,10692646.64
부산,201803,407116690853.04,16464211.47
부산,201710,429026068413.57,16744383.63
부산,201709,413897892902.3,16693224.97
서울,201703,2016488276073.6,101381595.0
서울,201803,2105495271720.0,104811053.76
서울,201707,1956213707860.0,100502311.9
서울,201708,1948875099264.1,101780522.05
서울,201807,2143407998100.36,108406511.34
울산,201801,142787809860.46,4984664.86
울산,201710,137606512025.96,5044038.6
울산,201803,147666891849.0,5235137.4
울산,201805,153226749468.8,5582791.2
인천,201702,334805168320.88,14533187.64
인천,201710,403648736165.64,18343683.12
인천,201712,449181681819.78,18294782.3
인천,201806,430965215608.62,19912172.49
인천,201807,447041922273.6,20411472.0
인천,201808,449427624314.11,20801090.31
전남,201804,176158565808.4,5933071.48
전남,201708,191546039558.4,6493281.66
전북,201701,155748970684.26,5826114.42
전북,201703,162782331435.3,6361250.4
전북,201803,177285510915.78,7017539.58
전북,201712,191991989240.24,6906418.68
전북,201806,177794378737.28,7148449.76
전북,201807,185309508991.68,7281324.16
전북,201805,196106150357.12,7720431.68
전북,201705,187093809136.5,7452065.25
전북,201808,193575909007.46,7696611.38
제주,201802,111429542533.53,3483698.66
제주,201703,126808991797.32,3914384.04
제주,201704,137248095593.14,4152222.96
제주,201709,148076355462.85,4689194.75
제주,201808,169236607486.92,5416032.56
충남,201802,214855835278.47,8447090.55
충남,201712,276186254672.77,10434397.09
충남,201703,232071929398.47,9610603.59
충남,201807,284731490653.5,11422515.5
충남,201708,274458800697.38,11267220.25
충남,201806,274306157680.55,11630458.05
충남,201804,273237624418.71,11696236.29
충남,201808,284449876172.77,11637624.46
