지역,중분류,기준년월,성별,연령대별,카드이용금액계,카드이용건수계
청양군,일식/중식/양식,201707,F,30대초,3035060,95.76
청양군,일식/중식/양식,201709,F,30대초,2985660,97.47
부여군,제과/커피/패스트푸드,201706,M,70대이상,791968.05,98.61
홍성군,일식/중식/양식,201706,F,60대후,3622101,98.61
부여군,일식/중식/양식,201707,M,20대초,2216844,133
예산군,일식/중식/양식,201707,F,20대초,5477472,266
서산시,일식/중식/양식,201705,M,70대이상,10003950,297
청양군,일식/중식/양식,201705,M,40대초,13164525,396
예산군,일식/중식/양식,201705,F,30대초,14731695,495
부여군,일식/중식/양식,201706,M,40대후,15863235,519
계룡시,제과/커피/패스트푸드,201712,F,20대초,4916871.7,533
아산시,일식/중식/양식,201707,M,70대이상,20047888,665
예산군,제과/커피/패스트푸드,201708,F,50대후,13630728.8,1066
태안군,제과/커피/패스트푸드,201702,F,30대초,12240149.6,1071
서산시,한식,201705,F,70대이상,55686297.15,1287
금산군,제과/커피/패스트푸드,201710,M,40대후,26901897.9,1557
보령시,한식,201712,M,60대후,74224514,1599
서산시,일식/중식/양식,201711,F,50대초,45576132,1614
태안군,제과/커피/패스트푸드,201711,F,30대초,18514463,1614
아산시,제과/커피/패스트푸드,201701,M,60대초,21121639,1694
보령시,일식/중식/양식,201707,F,40대후,81393340,1729
예산군,제과/커피/패스트푸드,201711,M,40대초,25293693.4,1883
보령시,일식/중식/양식,201707,F,30대후,82253584,1995
예산군,제과/커피/패스트푸드,201706,M,30대후,26736570.45,2076
예산군,한식,201702,M,60대후,76174994,2142
부여군,한식,201707,M,30대초,108975944,2793
공주시,제과/커피/패스트푸드,201703,M,30대후,39917269.35,3381
논산시,제과/커피/패스트푸드,201702,M,40대후,42729401.4,3451
당진시,제과/커피/패스트푸드,201702,M,50대후,35980364,3451
보령시,제과/커피/패스트푸드,201705,M,20대후,50386891.5,4752
홍성군,한식,201708,F,40대초,205997677.6,5330
당진시,한식,201703,F,20대후,220411737,6762
보령시,제과/커피/패스트푸드,201708,M,30대후,85204260.7,7462
보령시,한식,201707,M,50대후,375248328,8246
당진시,한식,201706,F,50대초,327173448,9342
금산군,제과/커피/패스트푸드,201712,F,60대후,1131026,101.27
청양군,일식/중식/양식,201711,F,50대초,2754560,102.22
홍성군,일식/중식/양식,201707,M,70대이상,4795980,106.4
공주시,일식/중식/양식,201701,F,60대후,2359500,106.48
부여군,제과/커피/패스트푸드,201708,F,70대이상,1102244,106.6
부여군,제과/커피/패스트푸드,201711,F,70대이상,972435,107.6
예산군,일식/중식/양식,201705,F,60대후,3588750,108.9
홍성군,일식/중식/양식,201704,F,70대이상,9929984,117.84
청양군,일식/중식/양식,201710,M,60대초,2698800,119.37
계룡시,일식/중식/양식,201712,F,20대초,3357900,122.59
보령시,일식/중식/양식,201712,F,70대이상,8397415,122.59
서천군,일식/중식/양식,201711,M,70대이상,8710220,123.74
태안군,제과/커피/패스트푸드,201705,M,60대후,1184535,123.75
계룡시,일식/중식/양식,201710,F,20대초,2510039.7,124.56
청양군,제과/커피/패스트푸드,201703,F,50대후,1424608.5,125.58
서산시,일식/중식/양식,201701,F,70대이상,5847204,125.84
계룡시,일식/중식/양식,201707,F,20대초,2640848,127.68
태안군,제과/커피/패스트푸드,201704,F,60대후,1659580,132.57
예산군,제과/커피/패스트푸드,201712,F,60대후,1703468,133.25
계룡시,일식/중식/양식,201705,F,20대초,2779920,133.65
금산군,제과/커피/패스트푸드,201703,F,60대초,1705569.6,135.24
서천군,제과/커피/패스트푸드,201703,M,60대초,3530005.5,135.24
금산군,일식/중식/양식,201708,M,70대이상,3765645,138.58
청양군,제과/커피/패스트푸드,201706,M,50대후,1861134,145.32
부여군,일식/중식/양식,201710,F,20대초,4292804.7,150.51
부여군,일식/중식/양식,201706,F,50대초,4270851,150.51
서천군,일식/중식/양식,201711,M,20대초,3644950,150.64
계룡시,한식,201702,F,60대후,4834256,152.32
부여군,제과/커피/패스트푸드,201709,F,60대후,1488726,153.9
청양군,일식/중식/양식,201710,F,30대후,4263808.17,155.7
공주시,일식/중식/양식,201711,F,60대후,2866464,156.02
계룡시,제과/커피/패스트푸드,201705,F,60대후,2977524,158.4
논산시,제과/커피/패스트푸드,201705,M,70대이상,1685970,158.4
계룡시,한식,201705,F,60대후,5766057,158.4
서천군,일식/중식/양식,201703,F,60대초,6298320,159.39
부여군,제과/커피/패스트푸드,201706,F,60대후,1938413.1,166.08
부여군,일식/중식/양식,201710,F,50대후,7202163,166.08
공주시,제과/커피/패스트푸드,201702,M,70대이상,1502494,166.6
홍성군,일식/중식/양식,201704,F,60대후,15540150,166.94
청양군,제과/커피/패스트푸드,201704,F,50대후,2133149.5,171.85
금산군,일식/중식/양식,201703,F,20대후,4093425,173.88
보령시,제과/커피/패스트푸드,201703,M,60대후,2820188.7,178.71
청양군,일식/중식/양식,201703,M,30대후,4361490,178.71
공주시,제과/커피/패스트푸드,201709,F,70대이상,2454089.4,179.55
공주시,일식/중식/양식,201709,F,60대후,5773302,184.68
논산시,제과/커피/패스트푸드,201707,F,70대이상,2435602.4,186.2
태안군,제과/커피/패스트푸드,201706,F,60대후,2082228,186.84
태안군,일식/중식/양식,201706,M,60대후,6944220,186.84
서산시,일식/중식/양식,201711,F,60대후,8130256,188.3
예산군,일식/중식/양식,201702,F,20대초,4517716,190.4
계룡시,일식/중식/양식,201707,F,20대후,6734109.2,191.52
예산군,제과/커피/패스트푸드,201705,F,60대후,1750815,193.05
서산시,일식/중식/양식,201705,F,60대후,6956730,193.05
보령시,제과/커피/패스트푸드,201711,M,70대이상,2568412,193.68
청양군,일식/중식/양식,201709,M,30대초,4337415,194.94
서천군,제과/커피/패스트푸드,201708,M,60대초,2900053,197.21
홍성군,일식/중식/양식,201707,F,60대초,7432040,202.16
공주시,제과/커피/패스트푸드,201703,F,70대이상,3593037,207.69
부여군,제과/커피/패스트푸드,201701,M,60대초,2534708,208.12
금산군,일식/중식/양식,201704,F,60대초,6139955,211.13
청양군,일식/중식/양식,201704,M,50대초,7178420,216.04
계룡시,일식/중식/양식,201705,F,20대후,6237495,217.8
홍성군,일식/중식/양식,201710,F,70대이상,21481410,217.98
계룡시,일식/중식/양식,201712,F,50대후,8006726,218.53
부여군,제과/커피/패스트푸드,201702,M,60대초,1832076.4,218.96
공주시,제과/커피/패스트푸드,201704,F,70대이상,2160891,220.95
태안군,일식/중식/양식,201707,M,60대후,8028412,223.44
계룡시,일식/중식/양식,201712,F,20대후,6648801.9,223.86
예산군,일식/중식/양식,201708,M,70대이상,5276700,223.86
공주시,일식/중식/양식,201705,M,70대이상,9613395,227.7
청양군,한식,201703,F,20대후,7656999,231.84
청양군,제과/커피/패스트푸드,201701,M,50대초,3796641.2,232.32
서천군,한식,201701,F,70대이상,21845340,232.32
당진시,일식/중식/양식,201702,F,70대이상,5655832,233.24
금산군,일식/중식/양식,201710,M,60대후,6381105,233.55
부여군,일식/중식/양식,201706,F,40대후,7561311,233.55
부여군,제과/커피/패스트푸드,201707,M,60대후,2175241.6,234.08
논산시,일식/중식/양식,201707,M,70대이상,4246956,234.08
계룡시,한식,201711,F,60대후,8787154,236.72
부여군,제과/커피/패스트푸드,201705,M,60대초,3042864,237.6
예산군,일식/중식/양식,201710,M,60대후,11366100,238.74
홍성군,일식/중식/양식,201708,M,60대후,8646859,239.85
부여군,제과/커피/패스트푸드,201706,M,60대초,2924305.5,249.12
태안군,일식/중식/양식,201710,M,70대이상,24747996,254.31
청양군,일식/중식/양식,201711,M,30대후,8349760,263.62
청양군,일식/중식/양식,201701,M,40대후,14420780,266.2
태안군,일식/중식/양식,201701,F,50대후,10803364,266.2
예산군,일식/중식/양식,201708,F,20대초,6951919,266.5
서천군,일식/중식/양식,201705,F,50대후,12110175,267.3
청양군,일식/중식/양식,201706,M,50대초,8869710,269.88
청양군,일식/중식/양식,201704,M,40대후,9680065,270.05
서천군,일식/중식/양식,201712,F,50대후,11288940,271.83
논산시,제과/커피/패스트푸드,201709,F,60대후,4063729.5,271.89
예산군,일식/중식/양식,201709,M,60대후,16564770,271.89
부여군,일식/중식/양식,201709,F,30대후,8825652,271.89
공주시,일식/중식/양식,201705,M,60대후,6984450,272.25
태안군,일식/중식/양식,201710,F,20대초,9623557.5,275.07
서천군,제과/커피/패스트푸드,201702,M,50대후,4851392,276.08
예산군,일식/중식/양식,201712,M,70대이상,8330790,282.49
예산군,제과/커피/패스트푸드,201701,F,60대초,3348360.4,285.56
계룡시,한식,201701,F,20대초,6243842,290.4
계룡시,일식/중식/양식,201702,F,50대초,9236304,309.4
청양군,제과/커피/패스트푸드,201706,F,40대후,3475613.25,311.4
공주시,일식/중식/양식,201706,M,60대후,7009095,311.4
논산시,제과/커피/패스트푸드,201707,F,60대후,3295367.6,313.88
예산군,제과/커피/패스트푸드,201708,M,60대후,3903159,314.47
서천군,일식/중식/양식,201710,F,30대초,11755350,316.59
금산군,일식/중식/양식,201703,F,20대초,4653705,318.78
청양군,제과/커피/패스트푸드,201702,M,20대후,3589087.6,318.92
금산군,제과/커피/패스트푸드,201705,F,50대후,7086370.5,321.75
예산군,일식/중식/양식,201706,M,60대후,13958505,326.97
서천군,일식/중식/양식,201712,M,60대초,14377142,330.46
부여군,일식/중식/양식,201709,M,50대후,9107289,333.45
태안군,한식,201712,F,70대이상,16509675,335.79
청양군,제과/커피/패스트푸드,201708,M,30대후,4580868.5,346.45
예산군,제과/커피/패스트푸드,201712,F,60대초,6084728,346.45
예산군,일식/중식/양식,201702,F,20대후,8385692,347.48
청양군,한식,201711,M,60대후,13323570,349.7
태안군,일식/중식/양식,201711,F,30대초,11594438,349.7
계룡시,일식/중식/양식,201707,F,50대초,8663886,351.12
부여군,일식/중식/양식,201710,M,50대후,10218072,352.92
논산시,일식/중식/양식,201708,F,60대초,10318347,357.11
청양군,일식/중식/양식,201706,M,40대초,8612805,358.11
부여군,일식/중식/양식,201705,F,40대초,16637940,361.35
공주시,제과/커피/패스트푸드,201705,M,70대이상,6759373.5,366.3
부여군,일식/중식/양식,201706,M,50대초,8439459,368.49
공주시,제과/커피/패스트푸드,201708,F,60대후,4922201.7,373.1
태안군,제과/커피/패스트푸드,201702,M,60대초,4290902,376.04
금산군,제과/커피/패스트푸드,201702,F,20대후,3511594.8,376.04
태안군,일식/중식/양식,201712,F,30대초,14387588.8,378.43
청양군,한식,201701,F,30대후,17923004,382.36
서천군,일식/중식/양식,201703,M,60대초,19286190,386.4
청양군,제과/커피/패스트푸드,201701,F,40대초,6777306.8,387.2
태안군,일식/중식/양식,201701,F,30대후,15353690,392.04
서산시,제과/커피/패스트푸드,201707,M,70대이상,4195884,393.68
계룡시,일식/중식/양식,201711,M,50대후,12694379,398.12
계룡시,일식/중식/양식,201710,M,50대후,11676981,399.63
청양군,제과/커피/패스트푸드,201710,F,40대후,5406993.9,399.63
금산군,일식/중식/양식,201708,F,30대초,9058335,399.75
서천군,일식/중식/양식,201709,F,50대초,17385882.93,400.14
홍성군,제과/커피/패스트푸드,201709,M,60대초,4856417.1,400.14
청양군,제과/커피/패스트푸드,201703,F,40대초,5820536.4,400.89
서천군,일식/중식/양식,201703,F,30대후,14907795,400.89
청양군,제과/커피/패스트푸드,201710,M,40대후,6799003.8,404.82
부여군,일식/중식/양식,201704,M,40대초,11442264,407.53
서천군,한식,201709,F,60대후,16209886.86,410.4
계룡시,일식/중식/양식,201703,M,20대초,7977228,410.55
예산군,일식/중식/양식,201702,F,30대초,10231144,414.12
금산군,제과/커피/패스트푸드,201702,M,50대초,5376182,414.12
보령시,일식/중식/양식,201707,M,60대후,17948616,414.96
청양군,제과/커피/패스트푸드,201708,M,30대초,5453176.3,415.74
홍성군,일식/중식/양식,201712,M,60대후,26475709,415.74
아산시,일식/중식/양식,201704,F,60대후,14204139,417.35
당진시,제과/커피/패스트푸드,201703,F,70대이상,5587344,420.21
청양군,제과/커피/패스트푸드,201701,M,30대초,4993815.2,421.08
청양군,제과/커피/패스트푸드,201704,M,30대후,5282325.3,422.26
청양군,제과/커피/패스트푸드,201706,M,30대초,5141369.7,425.58
논산시,제과/커피/패스트푸드,201701,F,60대초,9150552.4,425.92
계룡시,한식,201711,M,70대이상,14570062.2,430.4
아산시,일식/중식/양식,201702,F,60대후,12749184,433.16
보령시,제과/커피/패스트푸드,201711,F,60대초,6205830,435.78
계룡시,일식/중식/양식,201710,F,40대초,10757053.5,441.15
논산시,일식/중식/양식,201709,F,60대초,13172301,441.18
태안군,일식/중식/양식,201702,F,40대초,17735760,442.68
아산시,일식/중식/양식,201709,F,70대이상,14190093,446.31
계룡시,일식/중식/양식,201701,F,40대후,12440494,450.12
청양군,제과/커피/패스트푸드,201705,M,40대후,6256701,450.45
보령시,한식,201712,F,70대이상,19923540,453.05
예산군,일식/중식/양식,201704,F,50대후,11032279,456.63
청양군,제과/커피/패스트푸드,201703,M,20대초,4283340.6,463.68
서산시,제과/커피/패스트푸드,201710,M,70대이상,5673708,467.1
계룡시,한식,201705,M,70대이상,14187541.5,475.2
예산군,일식/중식/양식,201706,F,30대초,12599763,477.48
홍성군,한식,201705,F,60대후,18744165,490.05
청양군,한식,201712,F,30대후,19502470,490.36
홍성군,일식/중식/양식,201709,F,60대초,26418474,492.48
홍성군,한식,201709,F,60대후,22347306,492.48
서산시,제과/커피/패스트푸드,201712,F,70대이상,4918683.9,495.69
태안군,일식/중식/양식,201712,M,60대초,28243670,495.69
금산군,일식/중식/양식,201705,F,50대초,11669130,499.95
서천군,일식/중식/양식,201707,F,40대초,16640960,500.08
보령시,일식/중식/양식,201708,M,60대후,33623239,501.02
서천군,일식/중식/양식,201709,M,20대후,11932380,502.74
청양군,한식,201710,M,30대초,17915952.66,503.43
서천군,일식/중식/양식,201712,M,50대후,26064766,506.35
예산군,일식/중식/양식,201708,F,50대후,14232166,511.68
청양군,한식,201708,M,20대후,17356612,511.68
계룡시,한식,201710,M,70대이상,13794033.9,513.81
계룡시,한식,201707,F,20대초,11789120,521.36
보령시,일식/중식/양식,201706,F,60대초,27389187,524.19
보령시,일식/중식/양식,201704,M,60대후,34856090,525.37
당진시,일식/중식/양식,201707,F,60대후,13209347.2,526.68
청양군,한식,201709,M,60대후,25357590,528.39
서천군,일식/중식/양식,201710,F,40대후,27242310,529.38
태안군,제과/커피/패스트푸드,201704,M,50대후,6589956.5,530.28
계룡시,일식/중식/양식,201712,F,30대후,15808140.4,538.33
예산군,한식,201712,F,70대이상,20546084,538.33
금산군,제과/커피/패스트푸드,201703,F,50대초,5536580.7,540.96
서천군,일식/중식/양식,201702,M,40대초,17040800,542.64
청양군,제과/커피/패스트푸드,201708,M,20대후,6292278.2,543.66
예산군,제과/커피/패스트푸드,201709,M,60대초,9892948.5,543.78
홍성군,제과/커피/패스트푸드,201703,M,60대초,8357445.6,545.79
당진시,제과/커피/패스트푸드,201702,M,60대후,6096322.4,547.4
당진시,제과/커피/패스트푸드,201701,F,60대후,9915127.2,551.76
보령시,제과/커피/패스트푸드,201712,M,60대초,8321995.5,559.65
서천군,제과/커피/패스트푸드,201702,F,20대후,5942193.6,561.68
부여군,한식,201702,F,60대초,26653620,590.24
예산군,제과/커피/패스트푸드,201707,M,60대초,6615260.4,590.52
예산군,제과/커피/패스트푸드,201712,M,60대초,8711991.6,591.63
서천군,한식,201711,M,20대초,18602964,591.8
태안군,제과/커피/패스트푸드,201712,F,50대후,9816474.2,602.29
서천군,일식/중식/양식,201705,M,50대초,24324300,608.85
부여군,일식/중식/양식,201712,M,30대후,18088421,612.95
보령시,제과/커피/패스트푸드,201705,M,60대초,8569588.5,618.75
부여군,제과/커피/패스트푸드,201702,F,50대초,6682326,618.8
청양군,한식,201709,M,30대초,20186550,620.73
보령시,한식,201704,F,60대후,32242497,623.57
서천군,일식/중식/양식,201712,M,50대초,24213124,623.61
서천군,일식/중식/양식,201701,M,30대후,19379360,624.36
계룡시,일식/중식/양식,201709,M,30대초,15928803.9,625.86
예산군,한식,201709,F,70대이상,22725900,625.86
계룡시,제과/커피/패스트푸드,201703,F,20대초,4624435.2,627.9
금산군,제과/커피/패스트푸드,201705,F,20대초,7133940,628.65
금산군,제과/커피/패스트푸드,201708,F,50대초,7329869.3,634.27
천안시,일식/중식/양식,201704,F,70대이상,25940070.1,638.3
청양군,한식,201706,M,30대초,18590580,638.37
홍성군,제과/커피/패스트푸드,201708,F,60대초,11371288.5,639.6
부여군,일식/중식/양식,201707,M,30대후,20858124,643.72
계룡시,한식,201703,M,60대후,18102646.8,647.22
계룡시,제과/커피/패스트푸드,201703,M,50대후,8197862.4,652.05
청양군,한식,201709,F,40대초,24529095,656.64
계룡시,한식,201703,F,60대초,20063240.4,656.88
부여군,한식,201707,F,20대초,19126464,659.68
서산시,일식/중식/양식,201707,M,60대후,17701768,659.68
논산시,일식/중식/양식,201708,F,50대후,19767371,660.92
서천군,한식,201703,F,20대후,22991766,666.54
서산시,제과/커피/패스트푸드,201709,M,60대후,8837707.5,677.16
서천군,일식/중식/양식,201708,M,30대초,21325330,687.57
보령시,한식,201711,F,60대후,29838018,688.64
금산군,한식,201702,M,20대초,13434148,694.96
청양군,한식,201705,F,40대초,34810875,697.95
보령시,제과/커피/패스트푸드,201708,F,60대초,8057041.2,698.23
계룡시,일식/중식/양식,201712,M,30대초,20309965,698.23
당진시,일식/중식/양식,201702,F,60대초,18868640,699.72
금산군,일식/중식/양식,201701,M,30대초,18430720,701.8
금산군,제과/커피/패스트푸드,201701,F,30대초,8160094.8,701.8
금산군,일식/중식/양식,201704,M,50대후,15422310,702.13
부여군,제과/커피/패스트푸드,201705,M,50대후,10239421.5,702.9
논산시,일식/중식/양식,201701,F,20대초,14594536,706.64
논산시,일식/중식/양식,201705,F,50대후,20140560,707.85
논산시,제과/커피/패스트푸드,201707,M,60대초,8706180,712.88
태안군,제과/커피/패스트푸드,201705,M,60대초,7434801,717.75
서산시,제과/커피/패스트푸드,201705,M,60대후,15661503,722.7
예산군,일식/중식/양식,201702,M,50대후,23028880,728.28
금산군,제과/커피/패스트푸드,201701,M,20대후,8474065.6,730.84
태안군,제과/커피/패스트푸드,201704,F,50대후,8712745.9,731.59
계룡시,일식/중식/양식,201705,M,30대초,17924346,732.6
보령시,제과/커피/패스트푸드,201708,M,60대초,8973961.1,735.54
태안군,일식/중식/양식,201710,F,50대초,43991478,736.98
계룡시,일식/중식/양식,201711,M,20대후,15990328.4,737.06
계룡시,한식,201703,F,20대후,23302818,738.99
청양군,한식,201711,M,60대초,27897990,742.44
예산군,제과/커피/패스트푸드,201702,F,50대후,11545237.2,742.56
보령시,일식/중식/양식,201709,F,20대초,28837782,748.98
당진시,제과/커피/패스트푸드,201709,M,60대후,7711826.4,748.98
논산시,한식,201708,F,70대이상,24607544,751.53
서천군,제과/커피/패스트푸드,201709,M,20대초,7196877,754.11
금산군,제과/커피/패스트푸드,201705,M,50대초,11156557.5,757.35
계룡시,일식/중식/양식,201703,M,30대초,18834102,758.31
금산군,제과/커피/패스트푸드,201711,F,30대초,10168738,758.58
논산시,제과/커피/패스트푸드,201706,F,60대초,9811902.6,762.93
예산군,제과/커피/패스트푸드,201704,F,50대후,10256990,765.96
부여군,한식,201701,F,20대후,19924344,769.56
서천군,제과/커피/패스트푸드,201711,M,20대후,8774242,774.72
청양군,한식,201711,F,40대후,32312280,774.72
논산시,제과/커피/패스트푸드,201708,F,60대초,8171423,778.18
서천군,한식,201712,F,60대초,41234089.91,778.18
서산시,한식,201712,F,70대이상,49684661,783.51
서천군,제과/커피/패스트푸드,201701,F,30대초,10725778.8,784.08
금산군,일식/중식/양식,201704,M,20대후,14015104,785.6
당진시,일식/중식/양식,201701,F,60대초,21080136,788.92
부여군,제과/커피/패스트푸드,201704,M,50대후,8965119.9,790.51
아산시,제과/커피/패스트푸드,201701,M,60대후,9105492,793.76
금산군,제과/커피/패스트푸드,201711,M,20대후,7989569,796.24
태안군,한식,201710,F,60대후,48767835,799.26
부여군,제과/커피/패스트푸드,201710,F,50대후,7593073.8,799.26
홍성군,한식,201702,M,70대이상,39557504,799.68
부여군,한식,201702,F,30대초,33257168,804.44
서천군,일식/중식/양식,201708,M,50대초,32998030,831.48
금산군,제과/커피/패스트푸드,201712,M,20대후,10206683.5,831.48
금산군,제과/커피/패스트푸드,201712,F,20대초,10106692.7,836.81
보령시,한식,201702,M,70대이상,37737280,842.52
서천군,한식,201712,M,70대이상,34082685,847.47
금산군,일식/중식/양식,201708,M,30대초,18541471,852.8
서산시,일식/중식/양식,201701,F,50대후,28314484,856.68
태안군,일식/중식/양식,201707,F,30대후,34510095.2,861.84
아산시,제과/커피/패스트푸드,201711,F,70대이상,9576131,871.56
공주시,제과/커피/패스트푸드,201711,F,60대초,9649352.8,871.56
논산시,한식,201707,F,70대이상,35640808,872.48
홍성군,제과/커피/패스트푸드,201702,M,50대후,11703364.4,875.84
계룡시,제과/커피/패스트푸드,201709,F,50대초,7974533.7,877.23
아산시,제과/커피/패스트푸드,201709,F,70대이상,8198201.7,877.23
서산시,제과/커피/패스트푸드,201708,M,60대후,10561874.7,879.45
예산군,일식/중식/양식,201710,M,20대후,26355858,892.68
공주시,제과/커피/패스트푸드,201710,M,60대초,11492580.3,892.68
서천군,제과/커피/패스트푸드,201707,M,20대후,8595630.4,893.76
서산시,일식/중식/양식,201703,F,50대후,29277045,898.38
금산군,제과/커피/패스트푸드,201711,F,30대후,12910117,898.46
서천군,일식/중식/양식,201712,M,40대후,32023173,900.77
홍성군,일식/중식/양식,201711,F,30대초,28248228,903.84
논산시,일식/중식/양식,201709,M,60대초,25705096.2,913.14
부여군,제과/커피/패스트푸드,201707,F,50대후,9817262,920.36
서천군,제과/커피/패스트푸드,201711,M,30대초,8826159,925.36
태안군,일식/중식/양식,201710,F,40대초,42885489,929.01
논산시,일식/중식/양식,201708,F,20대초,17489595.5,932.75
논산시,일식/중식/양식,201704,F,50대초,28409800.1,932.9
서천군,제과/커피/패스트푸드,201709,F,40대초,11560147.2,933.66
서천군,일식/중식/양식,201705,M,30대후,29011950,940.5
금산군,일식/중식/양식,201701,M,40대후,27024140,943.8
논산시,일식/중식/양식,201711,F,50대초,23209858,946.88
부여군,제과/커피/패스트푸드,201709,M,50대초,8260685.1,949.05
예산군,제과/커피/패스트푸드,201709,F,50대후,12096591.3,954.18
예산군,일식/중식/양식,201702,M,50대초,28645680,956.76
서천군,제과/커피/패스트푸드,201709,M,20대후,10667629.8,959.31
금산군,일식/중식/양식,201712,M,30대후,21845005,959.4
예산군,제과/커피/패스트푸드,201711,M,20대초,8908634.4,963.02
논산시,일식/중식/양식,201705,F,20대초,16216200,965.25
보령시,일식/중식/양식,201702,F,50대초,48669572,971.04
태안군,일식/중식/양식,201711,M,40대초,41028956,973.78
논산시,일식/중식/양식,201705,F,50대초,28386715.5,980.1
금산군,일식/중식/양식,201702,M,40대초,26848780,985.32
예산군,일식/중식/양식,201708,M,30대초,19578156,986.05
금산군,제과/커피/패스트푸드,201711,M,30대초,10370918.4,989.92
금산군,제과/커피/패스트푸드,201709,F,40대초,14496661.8,990.09
아산시,제과/커피/패스트푸드,201706,F,70대이상,10616664,991.29
부여군,제과/커피/패스트푸드,201701,M,50대초,10344144.8,992.2
논산시,일식/중식/양식,201710,F,30대초,30832752,996.48
태안군,일식/중식/양식,201711,M,50대초,44610960,1000.68
서천군,제과/커피/패스트푸드,201710,F,30대초,10615677.9,1001.67
부여군,한식,201708,M,20대초,25010492,1002.04
예산군,일식/중식/양식,201708,M,50대후,29186014,1012.7
논산시,일식/중식/양식,201711,F,30대초,30522354,1016.82
금산군,일식/중식/양식,201706,M,50대초,23561562,1022.43
보령시,제과/커피/패스트푸드,201710,M,50대후,16920957,1032.81
계룡시,일식/중식/양식,201703,M,30대후,27531627.9,1033.62
예산군,일식/중식/양식,201705,M,30대초,27167085,1034.55
당진시,한식,201703,F,70대이상,47298741,1038.45
논산시,일식/중식/양식,201705,F,20대후,26889885,1039.5
아산시,제과/커피/패스트푸드,201704,F,70대이상,13285919.9,1040.92
예산군,제과/커피/패스트푸드,201702,F,20대후,13356060.2,1042.44
계룡시,일식/중식/양식,201702,M,40대초,32121098.8,1056.72
홍성군,일식/중식/양식,201702,M,60대초,81312700,1056.72
금산군,한식,201704,F,20대후,26949517,1060.56
금산군,제과/커피/패스트푸드,201711,F,40대후,13410295.6,1065.24
예산군,한식,201704,F,60대후,41510613,1075.29
논산시,일식/중식/양식,201707,F,50대초,32184776.4,1090.6
태안군,제과/커피/패스트푸드,201709,F,20대초,11788483.5,1097.82
보령시,일식/중식/양식,201710,M,60대초,73269306,1100.28
보령시,일식/중식/양식,201703,M,20대초,36205197,1101.24
공주시,일식/중식/양식,201701,F,50대초,27102064,1103.52
홍성군,제과/커피/패스트푸드,201707,M,50대후,12641862.8,1111.88
부여군,한식,201709,M,60대후,47143674,1113.21
서산시,한식,201710,F,70대이상,47765023.2,1121.04
예산군,한식,201711,F,60대후,42861653,1124.42
당진시,한식,201707,F,70대이상,54001192,1127.84
서천군,한식,201710,M,70대이상,47656137,1131.42
논산시,일식/중식/양식,201702,F,30대후,35283024,1132.88
홍성군,한식,201704,F,60대초,42316442.2,1139.12
공주시,한식,201706,F,70대이상,25837169.4,1146.99
예산군,한식,201701,F,20대초,20934210,1147.08
공주시,일식/중식/양식,201708,F,50대초,32081270,1151.28
부여군,한식,201710,M,60대후,69024405,1152.18
서산시,한식,201709,F,70대이상,48698064,1154.25
홍성군,일식/중식/양식,201708,F,20대초,25330292,1156.61
예산군,제과/커피/패스트푸드,201706,M,20대초,11757426,1162.56
태안군,일식/중식/양식,201704,M,20대후,31234719.5,1168.58
태안군,일식/중식/양식,201709,M,20대후,36352257.3,1179.9
공주시,일식/중식/양식,201703,F,20대후,25442991,1188.18
예산군,일식/중식/양식,201702,M,30대후,33008220,1194.76
금산군,제과/커피/패스트푸드,201706,M,30대후,16021737.6,1204.08
논산시,일식/중식/양식,201711,F,40대초,33355031.6,1205.12
금산군,제과/커피/패스트푸드,201707,M,40대초,16782631.6,1207.64
홍성군,제과/커피/패스트푸드,201705,M,50대후,11771595,1207.8
금산군,제과/커피/패스트푸드,201708,F,40대초,19042624.25,1225.9
예산군,제과/커피/패스트푸드,201710,F,50대초,17829155.1,1230.03
홍성군,한식,201701,M,60대후,58097908,1234.2
서천군,한식,201705,M,20대후,40750380,1237.5
홍성군,일식/중식/양식,201702,M,20대초,29572928,1242.36
서천군,한식,201702,F,30대후,45591756,1242.36
부여군,한식,201701,F,50대초,50295828,1243.88
태안군,제과/커피/패스트푸드,201707,F,50대초,14769543.6,1244.88
태안군,일식/중식/양식,201707,M,50대초,49182336,1244.88
금산군,제과/커피/패스트푸드,201708,F,30대후,16757333.45,1247.22
서천군,한식,201710,M,60대후,63068880,1261.17
태안군,일식/중식/양식,201708,M,50대초,59347951,1263.21
예산군,일식/중식/양식,201711,M,40대초,36748628,1264.3
보령시,일식/중식/양식,201706,F,20대후,46898397,1266.36
예산군,제과/커피/패스트푸드,201701,M,20대초,12694981.2,1277.76
보령시,일식/중식/양식,201710,M,20대초,48118566,1287.12
서천군,한식,201701,F,50대초,68598288,1292.28
홍성군,한식,201711,F,60대초,60220492,1312.72
공주시,한식,201708,F,70대이상,33857918.9,1337.83
계룡시,한식,201710,F,30대초,42258018,1339.02
논산시,일식/중식/양식,201707,F,40대초,33650489.6,1345.96
홍성군,제과/커피/패스트푸드,201708,F,50대후,15719342.6,1348.49
부여군,제과/커피/패스트푸드,201706,F,30대초,13966705.2,1354.59
논산시,일식/중식/양식,201708,F,40대초,44048239.3,1364.48
서천군,한식,201705,M,60대후,56241900,1366.2
예산군,일식/중식/양식,201706,M,40대초,34484955,1370.16
