지역,중분류,기준년월,성별,연령대별,카드이용금액계,카드이용건수계
부여군,일식/중식/양식,201710,F,20대후,6246165,212.79
공주시,제과/커피/패스트푸드,201707,F,70대이상,3307683.4,212.8
청양군,제과/커피/패스트푸드,201707,F,50대후,4442838.4,212.8
청양군,한식,201712,F,60대초,9151721.93,213.2
태안군,제과/커피/패스트푸드,201708,M,60대후,2758275,218.53
청양군,일식/중식/양식,201709,M,50대후,4752945,220.59
청양군,한식,201701,F,20대후,8849456,222.64
부여군,일식/중식/양식,201701,F,30대후,9140340,222.64
공주시,제과/커피/패스트푸드,201710,F,70대이상,2015380.8,223.17
청양군,한식,201702,F,20대후,9538088,223.72
논산시,제과/커피/패스트푸드,201708,F,70대이상,2559945.7,223.86
청양군,한식,201703,M,20대초,4866225,227.01
논산시,일식/중식/양식,201711,M,70대이상,5175560,231.34
청양군,일식/중식/양식,201703,M,50대후,5315415,231.84
청양군,한식,201702,M,60대후,8120560,233.24
태안군,일식/중식/양식,201702,F,50대후,9814644,233.24
보령시,제과/커피/패스트푸드,201712,M,70대이상,2872123.8,234.52
부여군,한식,201701,F,70대이상,10421972,237.16
보령시,제과/커피/패스트푸드,201703,F,60대후,3330768,246.33
태안군,일식/중식/양식,201702,F,20대후,8925476,247.52
서천군,일식/중식/양식,201710,M,60대후,16210965,249.12
부여군,일식/중식/양식,201704,F,40대초,7984151,250.41
청양군,제과/커피/패스트푸드,201704,F,30대초,3810307.3,250.41
부여군,일식/중식/양식,201712,F,40대후,6596408,250.51
금산군,일식/중식/양식,201707,F,20대후,6772360,255.36
청양군,일식/중식/양식,201703,M,40대초,8761620,255.99
청양군,제과/커피/패스트푸드,201710,F,30대초,2970797.52,259.5
청양군,제과/커피/패스트푸드,201704,F,20대초,1874638,260.23
청양군,한식,201712,M,20대초,7139535,261.17
서천군,일식/중식/양식,201702,F,50대초,19170900,261.8
금산군,제과/커피/패스트푸드,201702,F,50대후,3226328,261.8
청양군,제과/커피/패스트푸드,201702,M,40대초,5443916.8,266.56
홍성군,일식/중식/양식,201705,F,60대초,14300055,267.3
청양군,제과/커피/패스트푸드,201710,F,20대초,1881323.1,269.88
공주시,일식/중식/양식,201702,M,60대후,9058280,271.32
부여군,일식/중식/양식,201709,M,20대후,8015112,277.02
청양군,제과/커피/패스트푸드,201709,M,40대초,5601908.7,277.02
청양군,한식,201704,M,20대초,6703132,279.87
청양군,한식,201705,M,70대이상,10924650,282.15
부여군,일식/중식/양식,201712,M,50대후,10022532,282.49
서천군,일식/중식/양식,201701,F,40대초,12058860,285.56
논산시,일식/중식/양식,201704,M,60대후,7821630,289.69
서천군,일식/중식/양식,201704,F,40대후,11322460,294.6
공주시,일식/중식/양식,201703,M,60대후,6911730,294.63
청양군,제과/커피/패스트푸드,201704,F,40대초,3652696.3,299.51
아산시,일식/중식/양식,201706,F,60대후,8002461,301.02
홍성군,일식/중식/양식,201711,M,60대후,21167072,301.28
서천군,한식,201709,F,70대이상,18805554,302.67
계룡시,일식/중식/양식,201702,M,50대후,8366176,304.64
금산군,한식,201703,F,70대이상,9902272.8,309.12
금산군,일식/중식/양식,201701,F,30대초,8462256,309.76
청양군,제과/커피/패스트푸드,201711,F,40대초,3899693,312.04
논산시,일식/중식/양식,201703,F,60대초,8728293,313.95
공주시,제과/커피/패스트푸드,201703,F,60대후,3198377.7,318.78
홍성군,일식/중식/양식,201711,M,70대이상,23691906,322.8
서산시,일식/중식/양식,201709,M,70대이상,8616348,323.19
청양군,한식,201707,M,70대이상,11539080,324.52
논산시,일식/중식/양식,201708,M,60대후,7141134,325.13
서천군,제과/커피/패스트푸드,201712,F,50대후,7335146,325.13
부여군,일식/중식/양식,201703,F,40대초,10369382.1,328.44
금산군,한식,201701,F,60대후,15639492,329.12
청양군,제과/커피/패스트푸드,201711,M,20대초,3522985.4,333.56
금산군,일식/중식/양식,201704,F,20대초,5486925,333.88
예산군,일식/중식/양식,201709,F,30대초,9085784.04,338.58
부여군,일식/중식/양식,201702,F,40대초,13241844,342.72
서천군,제과/커피/패스트푸드,201701,F,50대후,3593700,343.64
공주시,제과/커피/패스트푸드,201711,F,60대후,3060359.2,344.32
부여군,일식/중식/양식,201712,F,40대초,12474865,346.45
예산군,일식/중식/양식,201702,M,60대초,8939280,347.48
청양군,제과/커피/패스트푸드,201706,M,30대후,4772983.5,347.73
청양군,제과/커피/패스트푸드,201704,M,40대초,6160405.15,348.61
보령시,제과/커피/패스트푸드,201702,M,60대초,4598969.2,352.24
서천군,일식/중식/양식,201703,F,50대후,17689875,352.59
서천군,일식/중식/양식,201707,F,50대후,12180140,356.44
서천군,제과/커피/패스트푸드,201706,M,50대후,4560972,358.11
당진시,일식/중식/양식,201707,F,70대이상,11364903.2,361.76
공주시,일식/중식/양식,201712,F,60대초,14852045,362.44
태안군,일식/중식/양식,201702,M,20대초,10222671.2,366.52
서천군,일식/중식/양식,201707,F,30대초,11238500,367.08
청양군,제과/커피/패스트푸드,201703,F,40대후,5245524.9,367.08
공주시,일식/중식/양식,201708,M,60대후,9213971,367.77
홍성군,제과/커피/패스트푸드,201708,M,60대후,3397821.7,367.77
보령시,일식/중식/양식,201701,M,60대후,20241848,367.84
논산시,일식/중식/양식,201705,F,60대초,9693090,371.25
보령시,제과/커피/패스트푸드,201701,M,60대초,6176759.6,372.68
논산시,일식/중식/양식,201707,M,60대후,8112468,377.72
공주시,제과/커피/패스트푸드,201708,M,60대후,4535083.8,378.43
계룡시,일식/중식/양식,201706,F,30대후,11155956.9,384.06
태안군,일식/중식/양식,201703,F,30대초,13052350.5,386.4
금산군,제과/커피/패스트푸드,201711,M,50대후,6746089.6,387.36
청양군,일식/중식/양식,201709,M,40대후,9967590,389.88
부여군,제과/커피/패스트푸드,201702,F,50대후,5661639.2,390.32
