날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2831,108,14,8,21
2832,108,16,8,22
2833,108,16,13,21
2834,108,17,11,22
2835,108,18,11,25
2836,108,13,11,21
2837,108,11,6,16
2838,108,9,4,15
2839,108,12,4,21
2840,108,14,6,24
2841,108,15,10,20
2842,108,14,11,17
2843,108,14,8,21
2844,108,13,6,21
2845,108,13,6,21
2846,108,14,8,20
2847,108,16,10,22
2848,108,14,10,21
2849,108,14,7,21
2850,108,18,12,23
2851,108,15,11,20
2852,108,15,12,20
2853,108,13,8,16
2854,108,10,3,17
2855,108,13,6,19
2856,108,12,7,18
2857,108,14,8,21
2858,108,14,8,20
2859,108,14,11,20
2860,108,12,7,20
2861,108,13,5,20
2862,108,16,12,21
2863,108,14,9,21
2864,108,6,2,11
2865,108,6,1,14
2866,108,9,2,17
2867,108,10,4,18
2868,108,6,0,12
2869,108,4,1,9
2870,108,7,1,12
2871,108,8,2,13
2872,108,10,8,13
2873,108,10,5,15
2874,108,10,4,16
2875,108,10,5,15
2876,108,11,4,18
2877,108,12,10,13
2878,108,7,1,12
2879,108,1,3,7
2880,108,0,3,4
2881,108,3,1,7
2882,108,2,4,6
2883,108,9,3,11
2884,108,8,6,10
2885,108,1,5,6
2886,108,5,7,1
2887,108,1,6,2
2888,108,1,6,2
2889,108,3,9,2
2890,108,0,5,3
2891,108,7,9,2
2892,108,5,11,1
2893,108,3,9,3
2894,108,2,3,6
2895,108,1,3,1
2896,108,1,7,3
2897,108,1,6,6
2898,108,4,9,2
2899,108,1,7,7
2900,108,3,4,8
2901,108,1,5,4
2902,108,2,7,1
2903,108,0,3,4
2904,108,4,4,9
2905,108,6,10,6
2906,108,8,12,5
2907,108,7,12,2
2908,108,7,13,2
2909,108,6,12,0
2910,108,7,12,0
2911,108,3,8,2
2912,108,12,15,8
2913,108,13,18,10
2914,108,13,20,9
2915,108,3,10,1
2916,108,4,1,7
2917,108,3,2,6
2918,108,4,6,1
2919,108,5,10,2
2920,108,9,14,4
2921,108,9,14,6
2922,108,4,7,2
2923,108,6,9,1
2924,108,8,14,3
2925,108,6,11,3
2926,108,8,13,2
2927,108,5,11,0
2928,108,1,5,3
2929,108,4,7,1
2930,108,6,10,1
2931,108,3,9,2
2932,108,0,5,3
2933,108,2,1,5
2934,108,2,1,5
2935,108,1,4,5
2936,108,3,7,0
2937,108,2,5,1
2938,108,9,11,5
2939,108,7,11,4
2940,108,1,4,3
2941,108,2,1,3
2942,108,1,7,2
2943,108,9,11,6
2944,108,10,14,5
2945,108,7,13,3
2946,108,2,5,0
2947,108,1,2,0
2948,108,4,6,1
2949,108,4,10,0
2950,108,6,11,1
2951,108,4,11,1
2952,108,1,2,1
2953,108,1,2,6
2954,108,2,6,2
2955,108,3,8,0
2956,108,8,11,5
2957,108,7,10,4
2958,108,9,12,6
2959,108,10,13,6
2960,108,10,16,4
2961,108,5,11,1
2962,108,8,11,4
2963,108,7,11,3
2964,108,6,10,3
2965,108,7,12,1
2966,108,5,12,1
2967,108,3,8,2
2968,108,4,10,2
2969,108,5,9,1
2970,108,8,13,2
2971,108,6,13,0
2972,108,3,11,6
2973,108,1,8,7
2974,108,0,5,5
2975,108,0,4,5
2976,108,3,6,3
2977,108,4,8,2
2978,108,4,9,1
2979,108,2,8,4
2980,108,2,6,8
2981,108,5,3,6
2982,108,5,4,6
2983,108,1,5,4
2984,108,4,7,0
2985,108,2,3,5
2986,108,2,1,4
2987,108,3,0,8
2988,108,3,1,8
2989,108,1,2,2
2990,108,2,5,2
2991,108,1,4,2
2992,108,1,2,2
2993,108,2,5,2
2994,108,2,5,3
2995,108,1,6,4
2996,108,0,5,7
2997,108,5,2,12
2998,108,6,1,14
2999,108,9,4,16
3000,108,5,1,11
3001,108,2,1,8
3002,108,0,4,4
3003,108,1,2,6
3004,108,3,5,13
3005,108,8,0,17
3006,108,8,3,15
3007,108,5,0,11
3008,108,3,2,7
3009,108,1,6,8
3010,108,8,2,16
3011,108,13,7,18
3012,108,8,5,11
3013,108,7,0,13
3014,108,9,5,15
3015,108,8,4,15
3016,108,8,4,11
3017,108,11,8,15
3018,108,7,7,10
3019,108,7,5,11
3020,108,7,1,14
3021,108,10,5,17
3022,108,11,5,17
3023,108,11,7,17
3024,108,10,7,14
3025,108,9,7,9
3026,108,8,3,14
3027,108,7,0,15
3028,108,9,1,19
3029,108,8,4,14
3030,108,10,2,19
3031,108,11,2,20
3032,108,12,3,23
3033,108,14,5,23
3034,108,14,11,17
3035,108,14,10,21
3036,108,14,5,22
3037,108,11,4,21
3038,108,8,3,13
3039,108,10,6,16
3040,108,9,4,14
3041,108,9,2,17
3042,108,11,2,20
3043,108,15,7,22
3044,108,16,8,24
3045,108,12,10,16
3046,108,14,10,19
3047,108,12,5,20
3048,108,14,8,21
3049,108,15,8,23
3050,108,17,10,25
3051,108,17,11,24
3052,108,17,13,24
3053,108,18,14,25
3054,108,13,10,18
3055,108,9,8,14
3056,108,12,6,17
3057,108,13,6,20
3058,108,15,6,24
3059,108,13,11,19
3060,108,14,11,18
3061,108,15,8,23
3062,108,17,11,24
3063,108,16,13,21
3064,108,16,9,24
3065,108,14,12,18
3066,108,14,11,19
3067,108,14,10,20
3068,108,17,10,25
3069,108,17,12,22
3070,108,17,15,19
3071,108,17,13,21
3072,108,16,11,21
3073,108,17,11,25
3074,108,14,10,24
3075,108,19,14,26
3076,108,19,13,28
3077,108,20,14,28
3078,108,20,13,29
3079,108,18,14,25
3080,108,19,16,25
3081,108,19,15,25
3082,108,19,12,28
3083,108,21,13,29
3084,108,20,15,28
3085,108,22,16,29
3086,108,20,17,25
3087,108,21,17,26
3088,108,21,17,28
3089,108,23,17,30
3090,108,21,18,27
3091,108,21,16,27
3092,108,19,17,24
3093,108,18,17,21
3094,108,20,17,26
3095,108,22,17,28
3096,108,24,19,29
3097,108,24,18,32
3098,108,24,20,31
3099,108,20,19,22
3100,108,23,19,29
3101,108,24,19,30
3102,108,21,20,23
3103,108,22,19,26
3104,108,20,16,24
3105,108,20,16,24
3106,108,20,17,26
3107,108,22,17,29
3108,108,20,18,23
3109,108,21,17,27
3110,108,21,15,27
3111,108,24,17,30
3112,108,23,20,28
3113,108,21,20,23
3114,108,21,20,22
3115,108,24,20,29
3116,108,25,20,30
3117,108,24,21,30
3118,108,25,20,31
3119,108,23,21,27
3120,108,23,19,30
3121,108,24,20,30
3122,108,25,20,32
3123,108,26,22,29
3124,108,23,21,26
3125,108,21,20,22
3126,108,23,22,25
3127,108,25,23,28
3128,108,27,22,33
3129,108,26,24,28
3130,108,25,23,27
3131,108,25,23,28
3132,108,26,23,30
3133,108,27,25,30
3134,108,25,24,27
3135,108,25,24,28
3136,108,26,24,30
3137,108,26,23,31
3138,108,27,24,32
3139,108,26,23,32
3140,108,27,24,32
3141,108,28,24,34
3142,108,26,23,31
3143,108,25,21,30
3144,108,22,20,27
3145,108,25,22,27
3146,108,25,22,31
3147,108,25,22,31
3148,108,25,22,29
3149,108,25,23,29
3150,108,26,22,30
3151,108,25,21,32
3152,108,26,21,32
3153,108,26,20,33
3154,108,26,21,33
3155,108,27,22,34
3156,108,26,24,31
3157,108,23,21,27
3158,108,23,20,26
3159,108,23,18,28
3160,108,19,18,24
3161,108,20,18,21
3162,108,20,19,23
3163,108,22,19,26
3164,108,22,18,28
3165,108,21,15,28
3166,108,22,18,27
3167,108,21,17,27
3168,108,22,17,27
3169,108,22,17,27
3170,108,23,19,28
3171,108,24,20,29
3172,108,22,18,27
3173,108,21,18,28
3174,108,21,18,26
3175,108,21,18,27
3176,108,22,17,26
3177,108,20,18,23
3178,108,20,18,23
3179,108,19,15,24
3180,108,17,12,23
3181,108,19,14,24
3182,108,21,18,27
3183,108,21,16,26
3184,108,21,16,26
3185,108,19,16,22
3186,108,17,12,21
3187,108,18,12,24
3188,108,16,11,22
3189,108,16,12,21
3190,108,15,9,22
3191,108,17,9,25
3192,108,18,11,27
3193,108,19,11,27
3194,108,18,11,26
3195,108,18,12,24
3196,108,16,10,22
3197,108,14,9,19
3198,108,13,7,21
3199,108,15,9,22
3200,108,16,10,23
3201,108,16,11,23
3202,108,15,12,18
3203,108,15,10,21
3204,108,13,9,17
3205,108,14,7,20
3206,108,12,6,19
3207,108,12,5,19
3208,108,12,3,21
3209,108,13,4,23
3210,108,15,12,18
3211,108,16,10,23
3212,108,16,9,23
3213,108,14,9,21
3214,108,15,8,22
3215,108,15,9,23
3216,108,15,9,22
3217,108,15,7,24
3218,108,16,8,25
3219,108,18,8,22
3220,108,19,15,24
3221,108,14,13,17
3222,108,15,12,18
3223,108,13,6,17
3224,108,6,2,12
3225,108,7,2,13
3226,108,6,0,14
3227,108,7,0,14
3228,108,9,2,16
3229,108,11,7,17
3230,108,11,4,19
3231,108,14,7,19
3232,108,14,10,19
3233,108,9,4,14
3234,108,4,1,8
3235,108,1,4,6
3236,108,2,5,3
3237,108,2,3,7
3238,108,1,3,6
3239,108,0,4,3
3240,108,2,6,8
3241,108,0,3,3
3242,108,1,7,5
3243,108,2,6,7
3244,108,3,3,10
3245,108,7,1,11
3246,108,12,7,15
3247,108,11,4,15
3248,108,2,1,7
3249,108,0,4,5
3250,108,2,6,3
3251,108,1,8,8
3252,108,6,2,13
3253,108,1,3,7
3254,108,4,6,2
3255,108,2,9,5
3256,108,1,7,5
3257,108,0,4,5
3258,108,2,7,4
3259,108,2,6,9
3260,108,2,6,3
3261,108,1,6,8
3262,108,5,2,10
3263,108,1,6,7
3264,108,0,3,3
3265,108,1,6,4
3266,108,1,7,6
3267,108,1,7,7
3268,108,2,3,9
3269,108,3,3,8
3270,108,3,3,10
3271,108,5,1,12
3272,108,2,5,2
3273,108,1,8,5
3274,108,1,6,6
3275,108,8,11,3
3276,108,3,7,2
3277,108,6,11,0
3278,108,2,8,5
3279,108,1,5,2
3280,108,6,10,2
3281,108,3,10,1
3282,108,0,7,6
3283,108,2,3,8
3284,108,1,5,9
3285,108,0,4,5
3286,108,1,3,5
3287,108,5,9,1
3288,108,8,13,3
3289,108,7,11,4
3290,108,1,6,3
3291,108,2,0,5
3292,108,2,3,8
3293,108,1,2,5
3294,108,1,3,2
3295,108,3,8,1
3296,108,6,9,0
3297,108,4,8,0
3298,108,3,8,2
3299,108,4,10,3
3300,108,0,4,2
3301,108,3,7,0
3302,108,3,9,3
3303,108,3,7,2
3304,108,4,10,2
3305,108,0,5,6
3306,108,3,1,5
3307,108,0,6,3
3308,108,4,8,0
3309,108,7,10,2
3310,108,7,14,2
3311,108,4,12,1
3312,108,1,4,5
3313,108,2,6,3
3314,108,2,6,2
3315,108,5,11,0
3316,108,3,6,2
3317,108,5,11,2
3318,108,4,11,1
3319,108,2,9,5
3320,108,2,8,6
3321,108,1,5,6
3322,108,0,3,5
3323,108,5,8,1
3324,108,4,8,2
3325,108,9,12,5
3326,108,8,13,3
3327,108,4,11,2
3328,108,2,9,4
3329,108,0,8,5
3330,108,4,8,3
3331,108,7,12,2
3332,108,4,13,4
3333,108,3,5,9
3334,108,1,5,4
3335,108,3,6,1
3336,108,5,10,1
3337,108,2,7,8
3338,108,1,8,6
3339,108,9,11,5
3340,108,10,13,6
3341,108,8,13,3
3342,108,7,12,1
3343,108,3,9,4
3344,108,2,5,2
3345,108,3,8,1
3346,108,1,7,5
3347,108,1,6,7
3348,108,3,2,8
3349,108,0,4,4
3350,108,3,9,5
3351,108,0,7,8
3352,108,1,6,9
3353,108,1,3,3
3354,108,0,5,6
3355,108,1,5,9
3356,108,4,3,9
3357,108,7,4,14
3358,108,8,0,15
3359,108,4,1,8
3360,108,1,3,6
3361,108,3,6,0
3362,108,4,8,3
3363,108,1,6,4
3364,108,2,5,3
3365,108,2,7,4
3366,108,3,5,9
3367,108,7,2,11
3368,108,1,3,6
3369,108,5,4,12
3370,108,5,3,7
3371,108,0,3,3
3372,108,2,3,2
3373,108,1,7,3
3374,108,1,4,6
3375,108,4,1,9
3376,108,5,1,12
3377,108,5,2,14
3378,108,7,2,15
3379,108,7,2,13
3380,108,9,1,19
3381,108,11,2,20
3382,108,13,6,21
3383,108,12,5,20
3384,108,7,3,10
3385,108,4,2,9
3386,108,8,1,15
3387,108,10,3,18
3388,108,5,0,9
3389,108,4,1,9
3390,108,11,1,20
3391,108,18,14,23
3392,108,11,5,18
3393,108,6,1,12
3394,108,6,2,15
3395,108,13,4,21
3396,108,11,8,14
3397,108,9,6,12
3398,108,11,6,17
3399,108,11,7,17
3400,108,10,5,16
3401,108,11,2,19
3402,108,12,6,19
3403,108,15,5,23
3404,108,16,11,22
3405,108,16,14,18
3406,108,15,13,17
3407,108,11,9,15
3408,108,11,6,17
3409,108,12,6,19
3410,108,13,7,20
3411,108,14,11,15
3412,108,17,14,22
3413,108,16,13,22
3414,108,12,10,14
3415,108,12,9,18
3416,108,14,7,22
3417,108,17,9,26
3418,108,17,12,23
3419,108,11,9,15
3420,108,13,7,20
3421,108,14,8,21
3422,108,14,10,20
3423,108,14,8,21
3424,108,15,10,22
3425,108,15,9,23
3426,108,16,11,23
3427,108,15,11,22
3428,108,15,10,21
3429,108,16,10,23
3430,108,17,11,25
3431,108,17,11,24
3432,108,20,15,25
3433,108,17,12,21
3434,108,13,9,20
3435,108,15,10,19
3436,108,15,11,21
3437,108,19,9,29
3438,108,21,14,30
3439,108,22,14,30
3440,108,23,15,32
3441,108,22,15,31
3442,108,22,16,31
3443,108,19,17,20
3444,108,18,17,19
3445,108,19,16,24
3446,108,18,14,24
3447,108,18,12,24
3448,108,19,15,24
3449,108,18,11,26
3450,108,18,12,26
3451,108,19,12,26
3452,108,20,16,26
3453,108,20,16,26
3454,108,20,13,27
3455,108,20,17,25
3456,108,20,14,27
3457,108,21,15,28
3458,108,23,16,30
3459,108,21,18,27
3460,108,22,16,30
3461,108,22,16,29
3462,108,22,17,30
3463,108,22,18,27
3464,108,22,19,28
3465,108,22,19,28
3466,108,22,19,27
3467,108,22,19,26
3468,108,22,18,27
3469,108,21,18,26
3470,108,22,18,28
3471,108,21,16,27
3472,108,22,16,28
3473,108,22,16,29
3474,108,23,15,31
3475,108,18,17,21
3476,108,20,18,23
3477,108,23,18,28
3478,108,24,21,29
3479,108,25,20,28
3480,108,23,20,25
3481,108,21,20,24
3482,108,26,20,30
3483,108,27,25,30
3484,108,27,24,30
3485,108,26,24,30
3486,108,27,24,31
3487,108,24,24,26
3488,108,26,24,30
3489,108,26,25,29
3490,108,25,24,28
3491,108,25,23,30
3492,108,26,22,32
3493,108,27,24,30
3494,108,27,25,30
3495,108,26,25,30
3496,108,27,24,31
3497,108,27,24,31
3498,108,27,23,32
3499,108,26,23,31
3500,108,27,23,31
3501,108,27,22,32
3502,108,25,23,28
3503,108,25,23,32
3504,108,26,21,33
3505,108,29,23,35
3506,108,27,23,32
3507,108,27,25,30
3508,108,30,25,36
3509,108,30,26,35
3510,108,28,24,33
3511,108,26,21,31
3512,108,24,23,28
3513,108,23,22,25
3514,108,22,22,24
3515,108,23,21,24
3516,108,23,20,25
3517,108,24,20,27
3518,108,25,21,28
3519,108,25,21,30
3520,108,26,23,30
3521,108,25,23,30
3522,108,26,23,30
3523,108,24,22,28
3524,108,25,22,31
3525,108,23,22,25
3526,108,24,23,27
3527,108,25,23,29
3528,108,25,22,31
3529,108,26,22,31
3530,108,25,22,30
3531,108,23,20,27
3532,108,20,15,27
3533,108,19,15,25
3534,108,20,16,26
3535,108,21,17,27
3536,108,20,16,25
3537,108,21,15,29
3538,108,22,16,29
3539,108,19,14,25
3540,108,17,11,25
3541,108,19,13,26
3542,108,18,13,26
3543,108,20,12,27
3544,108,21,15,28
3545,108,23,17,28
3546,108,20,19,23
3547,108,19,17,22
3548,108,21,18,25
3549,108,22,19,25
3550,108,23,19,30
3551,108,22,18,28
3552,108,21,17,27
3553,108,21,17,27
3554,108,20,19,25
3555,108,20,18,24
3556,108,20,16,26
3557,108,19,16,23
3558,108,19,13,25
3559,108,20,16,26
3560,108,20,16,25
3561,108,17,10,24
3562,108,17,9,24
3563,108,18,13,25
3564,108,18,11,27
3565,108,16,12,21
3566,108,12,7,18
3567,108,11,6,18
3568,108,12,5,21
3569,108,14,6,22
3570,108,14,8,20
3571,108,17,12,22
3572,108,14,8,22
3573,108,16,11,22
3574,108,15,10,18
3575,108,11,5,16
3576,108,10,3,18
3577,108,15,8,23
3578,108,15,8,23
3579,108,16,9,21
3580,108,13,9,16
3581,108,10,6,16
3582,108,9,2,16
3583,108,11,6,15
3584,108,8,2,15
3585,108,10,1,18
3586,108,12,5,17
3587,108,11,8,13
3588,108,10,6,16
3589,108,8,4,12
3590,108,5,0,9
3591,108,7,1,14
3592,108,9,5,13
3593,108,9,3,15
3594,108,11,5,19
3595,108,13,6,20
3596,108,2,3,9
3597,108,1,5,7
3598,108,1,5,9
3599,108,6,3,9
3600,108,9,4,12
3601,108,10,9,12
3602,108,6,1,10
3603,108,2,3,8
3604,108,6,2,13
3605,108,8,2,15
3606,108,7,1,14
3607,108,8,3,14
3608,108,6,2,12
3609,108,7,0,15
3610,108,1,4,9
3611,108,4,5,11
3612,108,5,1,11
3613,108,6,2,13
3614,108,9,2,18
3615,108,10,2,19
3616,108,1,5,7
3617,108,3,7,1
3618,108,3,4,9
3619,108,6,2,11
3620,108,7,1,12
3621,108,1,6,12
3622,108,5,7,3
3623,108,4,6,0
3624,108,4,9,1
3625,108,5,8,1
3626,108,1,7,3
3627,108,2,1,6
3628,108,1,2,4
3629,108,2,1,6
3630,108,1,3,4
3631,108,4,8,0
3632,108,6,11,1
3633,108,8,11,4
3634,108,5,11,0
3635,108,9,12,3
3636,108,11,14,6
3637,108,8,14,3
3638,108,8,13,2
3639,108,6,13,1
3640,108,4,10,3
3641,108,3,10,5
3642,108,1,3,3
3643,108,0,6,3
3644,108,2,10,3
3645,108,5,10,3
3646,108,9,12,6
3647,108,10,13,6
3648,108,9,15,3
3649,108,4,12,1
3650,108,2,1,3
3651,108,3,1,6
3652,108,3,1,5
3653,108,6,1,11
3654,108,5,7,1
3655,108,7,9,4
3656,108,1,8,3
3657,108,3,0,8
3658,108,3,0,8
3659,108,4,0,8
3660,108,3,0,7
3661,108,2,1,6
3662,108,0,2,2
3663,108,1,3,5
3664,108,3,0,7
3665,108,1,2,5
3666,108,2,2,7
3667,108,3,0,7
3668,108,3,7,0
3669,108,8,10,5
3670,108,9,11,6
3671,108,8,12,3
3672,108,5,11,0
3673,108,1,2,5
3674,108,1,0,3
3675,108,0,2,1
3676,108,5,7,1
3677,108,6,10,1
3678,108,5,11,1
3679,108,2,7,3
3680,108,0,4,3
3681,108,0,4,3
3682,108,2,5,0
3683,108,15,19,2
3684,108,15,20,11
3685,108,15,18,12
3686,108,13,20,7
3687,108,5,9,1
3688,108,8,13,3
3689,108,5,10,1
3690,108,2,8,3
3691,108,1,2,5
3692,108,2,6,4
3693,108,4,8,1
3694,108,8,12,4
3695,108,7,12,2
3696,108,5,12,0
3697,108,3,6,1
3698,108,3,10,3
3699,108,1,7,6
3700,108,0,2,4
3701,108,0,4,5
3702,108,1,7,5
3703,108,2,6,3
3704,108,5,7,1
3705,108,4,9,2
3706,108,4,10,3
3707,108,2,8,4
3708,108,0,7,8
3709,108,3,1,8
3710,108,1,3,5
3711,108,1,7,4
3712,108,0,5,7
3713,108,0,6,7
3714,108,1,4,4
3715,108,2,7,3
3716,108,4,6,1
3717,108,3,8,1
3718,108,3,9,2
3719,108,1,8,5
3720,108,0,5,6
3721,108,1,7,6
3722,108,1,7,8
3723,108,0,3,4
3724,108,0,5,6
3725,108,0,6,8
3726,108,6,4,15
3727,108,7,1,11
3728,108,2,1,6
3729,108,1,4,9
3730,108,2,3,7
3731,108,5,1,12
3732,108,7,3,12
3733,108,7,1,11
3734,108,7,4,11
3735,108,4,1,8
3736,108,3,3,9
3737,108,9,4,15
3738,108,7,5,11
3739,108,8,3,13
3740,108,6,2,11
3741,108,7,2,11
3742,108,2,1,6
3743,108,2,4,7
3744,108,4,0,8
3745,108,5,3,10
3746,108,5,1,12
3747,108,5,1,11
3748,108,6,1,13
3749,108,8,1,17
3750,108,10,3,17
3751,108,11,8,17
3752,108,11,7,17
3753,108,9,5,14
3754,108,9,2,17
3755,108,8,1,16
3756,108,9,3,15
3757,108,2,0,7
3758,108,8,2,17
3759,108,14,6,23
3760,108,16,10,22
3761,108,13,10,18
3762,108,14,6,22
3763,108,15,9,22
3764,108,11,10,15
3765,108,13,8,20
3766,108,15,8,23
3767,108,11,9,14
3768,108,11,7,17
3769,108,11,4,18
3770,108,13,4,21
3771,108,13,8,19
3772,108,8,3,15
3773,108,11,3,19
3774,108,14,8,19
3775,108,14,8,20
3776,108,14,8,22
3777,108,12,8,16
3778,108,14,8,22
3779,108,15,7,25
3780,108,14,9,21
3781,108,16,11,22
3782,108,18,11,26
3783,108,20,14,27
3784,108,19,13,28
3785,108,16,11,24
3786,108,15,11,23
3787,108,15,9,21
3788,108,18,12,26
3789,108,15,11,21
3790,108,13,9,22
3791,108,15,10,22
3792,108,14,6,23
3793,108,15,7,24
3794,108,16,8,25
3795,108,17,9,27
3796,108,17,10,27
3797,108,15,11,20
3798,108,16,8,25
3799,108,18,11,28
3800,108,20,14,29
3801,108,21,12,31
3802,108,19,13,29
3803,108,19,14,27
3804,108,22,14,31
3805,108,19,16,24
3806,108,18,15,24
3807,108,17,14,21
3808,108,19,13,23
3809,108,16,12,20
3810,108,18,15,22
3811,108,18,14,23
3812,108,19,13,26
3813,108,20,13,28
3814,108,20,14,27
3815,108,23,16,31
3816,108,20,17,24
3817,108,19,15,24
3818,108,20,15,26
3819,108,21,18,27
3820,108,22,19,26
3821,108,21,18,27
3822,108,25,18,32
3823,108,19,17,23
3824,108,18,15,23
3825,108,19,16,25
3826,108,18,17,20
3827,108,20,16,27
3828,108,21,14,29
3829,108,22,18,28
3830,108,19,17,24
3831,108,19,15,25
3832,108,19,13,25
3833,108,21,17,25
3834,108,24,18,32
3835,108,23,19,29
3836,108,18,16,20
3837,108,21,17,26
3838,108,21,16,27
3839,108,22,18,28
3840,108,21,19,23
3841,108,23,21,26
3842,108,23,21,26
3843,108,22,19,25
3844,108,20,19,24
3845,108,23,20,27
3846,108,24,20,30
3847,108,24,20,28
3848,108,22,20,24
3849,108,23,20,28
3850,108,20,19,23
3851,108,22,18,24
3852,108,22,21,24
3853,108,25,21,31
3854,108,22,21,26
3855,108,24,21,28
3856,108,23,21,26
3857,108,25,21,29
3858,108,24,21,29
3859,108,25,22,30
3860,108,24,23,26
3861,108,25,23,28
3862,108,27,22,33
3863,108,28,25,32
3864,108,28,25,33
3865,108,28,25,32
3866,108,27,24,32
3867,108,27,24,32
3868,108,27,23,31
3869,108,26,24,31
3870,108,27,23,32
3871,108,26,23,30
3872,108,24,20,29
3873,108,25,20,30
3874,108,25,21,31
3875,108,25,20,31
3876,108,25,21,32
3877,108,25,22,31
3878,108,23,20,31
3879,108,24,19,30
3880,108,22,19,27
3881,108,23,20,28
3882,108,22,19,27
3883,108,22,17,28
3884,108,20,17,25
3885,108,24,17,30
3886,108,23,21,27
3887,108,25,23,29
3888,108,25,23,29
3889,108,25,22,29
3890,108,26,21,32
3891,108,25,23,31
3892,108,23,22,26
3893,108,22,19,24
3894,108,23,18,28
3895,108,23,21,29
3896,108,23,21,25
3897,108,23,22,25
3898,108,21,19,25
3899,108,21,17,25
3900,108,20,18,23
3901,108,20,17,24
3902,108,20,16,26
3903,108,20,14,26
3904,108,22,16,27
3905,108,21,17,26
3906,108,22,19,26
3907,108,20,18,25
3908,108,18,15,22
3909,108,19,15,24
3910,108,19,15,24
3911,108,18,10,26
3912,108,18,12,26
3913,108,20,14,27
3914,108,20,15,27
3915,108,20,17,25
3916,108,19,14,24
3917,108,17,11,24
3918,108,19,15,26
3919,108,20,15,26
3920,108,19,17,23
3921,108,15,12,17
3922,108,16,10,21
3923,108,18,13,24
3924,108,16,10,24
3925,108,16,12,24
3926,108,17,12,22
3927,108,18,14,23
3928,108,16,8,24
3929,108,16,10,24
3930,108,15,10,23
3931,108,15,9,23
3932,108,17,10,23
3933,108,18,15,22
3934,108,15,10,21
3935,108,9,7,13
3936,108,7,1,15
3937,108,10,2,19
3938,108,15,8,22
3939,108,14,11,20
3940,108,14,7,22
3941,108,14,6,24
3942,108,13,5,22
3943,108,13,6,24
3944,108,14,5,23
3945,108,14,8,20
3946,108,16,10,23
3947,108,15,10,22
3948,108,15,7,23
3949,108,15,7,24
3950,108,13,6,19
3951,108,10,2,20
3952,108,11,5,21
3953,108,12,4,21
3954,108,12,4,21
3955,108,12,4,20
3956,108,13,5,23
3957,108,14,7,20
3958,108,15,10,20
3959,108,12,7,18
3960,108,5,0,10
3961,108,4,4,12
3962,108,8,1,14
3963,108,7,1,16
3964,108,9,0,18
3965,108,10,4,18
3966,108,11,5,16
3967,108,7,4,11
3968,108,9,6,13
3969,108,7,2,13
3970,108,2,2,8
3971,108,5,2,11
3972,108,7,5,9
3973,108,0,4,7
3974,108,2,5,1
3975,108,2,5,1
3976,108,3,8,3
3977,108,3,4,7
3978,108,4,2,11
3979,108,6,1,12
3980,108,7,3,10
3981,108,5,1,11
3982,108,4,2,11
3983,108,5,0,11
3984,108,4,2,11
3985,108,5,1,8
3986,108,8,4,11
3987,108,6,5,8
3988,108,1,7,5
3989,108,7,10,4
3990,108,4,9,1
3991,108,3,5,2
3992,108,2,5,2
3993,108,2,7,4
3994,108,3,9,3
3995,108,5,10,0
3996,108,10,13,5
3997,108,12,15,8
3998,108,14,17,10
3999,108,12,17,6
4000,108,6,13,0
4001,108,6,11,1
4002,108,5,12,3
4003,108,3,8,1
4004,108,6,13,1
4005,108,3,8,2
4006,108,2,3,6
4007,108,2,9,2
4008,108,7,11,3
4009,108,6,14,0
4010,108,3,8,2
4011,108,3,11,4
4012,108,1,4,1
4013,108,2,5,1
4014,108,0,6,6
4015,108,5,8,1
4016,108,3,8,3
4017,108,5,11,2
4018,108,8,11,2
4019,108,10,14,7
4020,108,13,20,6
4021,108,4,10,1
4022,108,1,3,2
4023,108,4,9,2
4024,108,9,12,6
4025,108,7,13,4
4026,108,3,6,2
4027,108,4,11,1
4028,108,1,6,6
4029,108,6,13,1
4030,108,16,18,12
4031,108,15,22,9
4032,108,5,13,0
4033,108,6,11,1
4034,108,6,13,0
4035,108,6,13,0
4036,108,5,10,1
4037,108,6,13,2
4038,108,6,13,2
4039,108,3,9,1
4040,108,9,12,1
4041,108,14,18,7
4042,108,11,20,3
4043,108,4,8,2
4044,108,1,3,4
4045,108,3,1,5
4046,108,4,2,8
4047,108,3,2,9
4048,108,6,0,8
4049,108,1,0,7
4050,108,1,1,4
4051,108,5,7,0
4052,108,4,9,0
4053,108,2,6,2
4054,108,2,5,4
4055,108,4,10,1
4056,108,2,8,4
4057,108,0,3,4
4058,108,2,7,4
4059,108,1,6,5
4060,108,1,2,5
4061,108,1,7,5
4062,108,2,1,6
4063,108,1,0,4
4064,108,2,6,1
4065,108,6,9,2
4066,108,7,10,3
4067,108,6,11,0
4068,108,3,10,4
4069,108,2,8,4
4070,108,1,7,5
4071,108,0,3,6
4072,108,3,1,7
4073,108,3,1,8
4074,108,1,4,7
4075,108,2,2,7
4076,108,1,3,9
4077,108,4,3,13
4078,108,1,1,3
4079,108,1,2,1
4080,108,2,5,2
4081,108,1,4,7
4082,108,6,0,9
4083,108,6,5,7
4084,108,3,0,10
4085,108,4,0,9
4086,108,0,3,5
4087,108,2,4,3
4088,108,1,5,10
4089,108,6,2,10
4090,108,6,5,8
4091,108,6,3,9
4092,108,5,2,10
4093,108,6,4,9
4094,108,7,3,11
4095,108,3,1,8
4096,108,2,3,7
4097,108,1,2,5
4098,108,5,2,8
4099,108,8,4,13
